id,palavra_chave
1,Canvas
1,Pipelines
1,SharePoint
2,Python
3,Marketing
3,Microsoft Office
4,Data Science
4,Marketing
4,Python
4,Science
5,Big Data
5,Enablement
5,Marketing
5,Saber
5,Sales
5,Sales Enablement
5,Software
7,Business
7,Global Operations
7,Process Redesign
7,Research
7,Testing
7,Test Cases
7,Test Execution
7,Triage
9,Judicial
9,LiDAR
9,Valuation
10,Access
10,PowerPoint
10,Python
10,Tempo
11,Access
11,Business
11,Employee Engagement
11,Payments
11,Purchasing
11,Stock Exchange
12,Marketing
12,Python
12,Suite
12,Tempo
14,Sellers
16,Marketing
16,Workshops
17,Alexa
17,Writing
18,Analytics
18,Body Shop
18,Growth Hacking
18,Hacking
18,LiDAR
18,Tableau
19,Business
20,Marketing
22,Business
22,Business Intelligence
22,Python
23,E-commerce
24,Software
25,Big Data
25,Software
26,Business
26,Business Intelligence
26,Python
27,Coca-Cola
27,Marketing
28,Business
28,Happy Hour
28,Marketing
28,Social Listening
29,Business
30,Marketing
30,Saber
31,Analytics
31,Landing Pages
31,Marketing
31,Templates
31,Web Analytics
32,Analytics
32,Python
32,Tempo
33,Python
34,Athena
34,Big Data
35,Python
37,Academia
37,MySQL
41,Software
41,Stata
42,Analysis
42,Analytics
42,Integration
42,Pipelines
43,Badges
43,Consulting
43,Saber
43,Tempo
43,Threat Intelligence
44,Badges
44,Consulting
44,Saber
44,Tempo
44,Threat Intelligence
45,Analytics
45,Google Analytics
45,Marketing
45,SAP CRM
46,Business
47,Business
47,LiDAR
49,Analytics
49,Dynamics
49,Lifestyle
49,Microsoft Dynamics
50,Marketing
50,Tableau
52,Marketing
52,Trade Marketing
53,Management
53,Tableau
55,Analytics
56,Supply Chain
57,Email
57,Landing Pages
57,Marketing
57,Oracle
57,Software
58,Email
58,Landing Pages
58,Marketing
58,Software
59,Analytics
59,Body Shop
59,E-commerce
59,LiDAR
59,Tableau
60,E-commerce
60,Radar
61,Saber
61,Stickers
63,Oracle
63,Servers
64,Inbound Marketing
64,Marketing
65,Business
66,Analytics
66,E-commerce
66,Mindfulness
66,Social Listening
67,Marketing
69,E-commerce
69,Email
69,Marketing
70,Analytics
70,Marketing
70,Saber
70,Tableau
71,Analytics
71,Copywriting
71,Email
71,Email Marketing
71,Inbound Marketing
71,Marketing
71,Software
71,Storytelling
72,Marketing
73,Marketing
74,Branding
74,Marketing
74,Saber
77,PowerPoint
77,Python
78,Analytics
78,PowerPoint
78,Python
79,Analytics
79,E-commerce
79,Google Analytics
81,Analytics
81,LiDAR
82,Tempo
83,Marketing
83,Templates
85,Due Diligence
85,Supply Chain
85,Tempo
86,Body Shop
86,Supply Chain
86,Tableau
87,Asset Management
87,Financial Services
87,History
87,Insurance
87,Latin
87,Life Insurance
87,Management
87,Real Estate
87,Saber
87,Symbol
88,Kanban
89,Tableau
90,E-commerce
90,Flash
90,Judicial
90,Saber
90,Talent Acquisition
90,Tempo
91,Big Data
91,Marketing
92,PowerPoint
95,Private Equity
96,COBOL
96,Kanban
96,Linux
97,Knowledge Base
97,Linux
97,Troubleshooting
97,Windows
99,Saber
99,Tempo
100,Front-end
